영화,<블라인드> 시사회 이벤트,2016.11.03~2019.04.30,2019.04.30,2018년 7월 16일 월요일 오후 8:00,지역별 장소 확인,"예매권, 할인권",http://movie.yes24.com/Event/Event_List.aspx
영화,<블라인드> 시사회 이벤트,2018.06.26~2018.07.02,2018.07.03,2018년 7월 5일 목요일 오후 7:30,롯데시네마-월드타워,,http://movie.yes24.com/Event/Event_List.aspx
영화,<오늘 밤，로맨스 극장에서> 시사회 이벤트,2018.06.26~2018.07.09,2018.07.10,2018년 7월 11일 수요일 오후 8:00,롯데시네마-월드타워,,http://movie.yes24.com/Event/Event_List.aspx
영화,<블라인드> 시사회 이벤트,2018.06.25~2018.07.01,2018.07.02,2018년 7월 5일 목요일 오후 7:30,롯데시네마-건대입구,,http://movie.yes24.com/Event/Event_List.aspx
영화,<스카이스크래퍼> 시사회 이벤트,2018.06.25~2018.07.02,2018.07.03,2018년 7월 5일 목요일 오후 8:00,롯데시네마-월드타워,,http://movie.yes24.com/Event/Event_List.aspx
영화,<빅 식> 시사회 이벤트,2018.06.25~2018.07.08,2018.07.09,2018년 7월 16일 월요일 오후 8:00,메가박스 코엑스,,http://movie.yes24.com/Event/Event_List.aspx
영화,<제 22회 부천국제판타스틱영화제> 초대 이벤트,2018.06.25~2018.07.04,2018.07.05,,지역별 장소 확인,,http://movie.yes24.com/Event/Event_List.aspx
영화,<식물도감> 예매 이벤트,2018.06.21~2018.07.01,2018.07.04,,,오리지널 굿즈 세트,http://movie.yes24.com/Event/Event_List.aspx
영화,<개들의 섬> 예매 이벤트,2018.06.18~2018.07.01,2018.07.02,,,오리지널 굿즈 세트,http://movie.yes24.com/Event/Event_List.aspx
영화,[이벤트]이 달의 앱 출석체크,2017.07.01~2018.12.31,2018.12.31~,,,"예매권, 할인권",http://movie.yes24.com/Event/Event_List.aspx
영화,SKT 고객이라면 누려라! 무료영화예매 혜택,2016.11.03~2019.04.30,2019.04.30,,,,http://movie.yes24.com/Event/Event_List.aspx
